time_ms,relative_alt_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
16251,-1.06,2.89,-9.29,2.18,0.08,0.02,0.03
16296,-1.18,2.38,-9.40,2.24,-0.12,-0.04,0.00
16342,-1.11,2.73,-9.40,2.22,-0.11,-0.02,0.11
16388,-1.06,2.16,-9.56,1.71,-0.12,-0.01,0.13
16436,-1.07,1.69,-9.71,1.40,-0.09,0.01,0.08
16481,-1.03,1.54,-9.73,1.45,-0.05,0.02,0.01
16527,-1.12,2.01,-9.58,1.88,-0.02,0.03,-0.04
16572,-1.10,2.40,-9.46,2.02,-0.02,0.02,-0.03
16618,-1.04,2.69,-9.36,2.26,-0.04,0.01,-0.01
16671,-1.14,2.38,-9.43,2.21,-0.09,0.02,0.04
16723,-1.09,2.40,-9.39,2.36,-0.13,-0.01,0.06
16768,-1.07,2.28,-9.54,1.76,-0.14,0.02,0.05
16814,-1.04,2.43,-9.54,1.47,-0.13,0.02,0.05
16859,-1.08,2.62,-9.56,1.71,-0.10,0.02,0.11
16905,-1.06,1.67,-9.73,1.50,-0.06,0.03,0.11
16953,-1.09,1.25,-9.78,1.56,-0.07,0.00,0.04
16998,-1.06,1.46,-9.73,1.52,-0.04,0.03,-0.07
17044,-1.01,2.11,-9.51,1.82,-0.05,-0.01,-0.10
17089,-1.09,4.87,-9.17,3.21,-0.16,-0.18,0.05
17135,-1.19,1.83,-9.91,-0.10,-0.80,-0.25,0.44
17189,-1.16,3.68,-9.83,-0.29,-0.35,0.55,-0.39
17240,-1.15,3.29,-9.93,0.20,0.60,1.96,0.17
17285,-1.14,0.11,-9.09,3.77,-0.17,1.14,0.38
17331,-1.10,2.53,-9.81,2.14,-0.24,0.64,0.74
17376,-1.10,0.99,-9.70,0.48,0.26,1.04,0.58
17422,-1.13,0.51,-9.62,2.68,-0.21,0.95,0.72
17467,-1.08,0.75,-9.44,0.90,-0.24,0.02,0.24
17515,-1.04,-0.09,-9.64,1.59,0.06,0.33,-0.22
17561,-1.08,0.54,-9.73,1.36,0.30,-0.07,-0.29
17606,-1.10,1.14,-9.80,2.04,0.22,0.36,-0.08
17652,-1.01,0.71,-9.61,2.03,-0.04,0.46,0.17
17706,-0.80,-1.01,-9.54,1.90,0.14,-0.28,0.09
17757,-0.79,0.04,-9.66,1.76,0.02,0.31,0.14
17802,-0.73,1.03,-9.63,3.09,0.18,-0.02,-0.04
17848,-0.83,0.33,-9.58,1.95,0.02,0.07,-0.04
17893,-0.88,0.26,-9.50,2.39,0.01,0.04,-0.06
17939,-0.87,0.68,-9.49,2.35,0.01,-0.34,-0.10
17984,-0.84,1.41,-9.52,2.48,0.02,-0.15,-0.10
18033,-0.92,1.24,-9.46,2.49,-0.03,0.04,-0.03
18079,-0.90,1.41,-9.52,2.28,-0.07,0.01,0.05
18124,-0.77,1.12,-9.74,1.47,-0.04,-0.00,0.08
18171,-0.78,1.17,-9.49,2.77,-0.00,0.02,0.09
18224,-0.77,0.34,-9.67,1.79,0.02,0.00,0.05
18274,-0.85,0.93,-9.56,2.50,0.07,-0.21,0.09
18320,-0.82,0.34,-9.53,2.31,0.08,-0.03,0.06
18365,-0.81,0.20,-9.49,2.62,0.06,-0.13,0.04
18411,-0.94,0.26,-9.56,2.23,0.07,-0.20,-0.02
18456,-0.90,0.62,-9.37,5.47,-0.20,-0.80,-0.15
18502,-0.87,4.35,-8.85,2.49,-0.39,-0.23,-0.33
18550,-0.85,0.09,-9.39,1.92,0.09,0.25,0.17
18597,-0.90,0.37,-9.80,3.37,-0.22,-0.11,-0.15
18642,-0.88,2.49,-9.48,2.12,-0.26,-0.08,-0.04
18688,-0.96,0.25,-9.26,2.95,-0.30,0.78,0.27
18741,-0.97,1.79,-9.44,1.40,-0.14,0.46,0.14
18792,-0.96,0.15,-9.80,3.90,-0.52,-0.24,-0.20
18837,-1.00,2.06,-9.74,0.58,-0.46,0.43,0.31
18883,-1.00,-0.75,-9.71,1.40,-0.54,0.10,0.05
18928,-0.95,2.13,-9.74,0.52,0.01,0.57,0.15
18974,-0.91,-0.28,-9.93,2.69,-0.05,0.38,0.12
19019,-0.95,0.46,-9.72,1.89,-0.42,-0.47,-0.22
19068,-0.93,1.24,-9.68,-0.19,0.03,-0.39,-0.33
19114,-1.01,3.04,-9.75,0.83,0.41,0.04,0.01
19159,-1.06,1.34,-9.84,1.63,0.21,0.32,0.51
19205,-1.01,-0.25,-9.28,1.66,-0.34,0.36,0.08
19259,-1.05,-0.27,-9.31,2.62,0.20,0.20,0.15
19309,-1.03,1.65,-9.88,2.71,0.44,0.26,-0.39
19354,-0.92,0.62,-9.64,1.99,-0.06,0.18,0.13
19400,-0.91,0.64,-9.66,2.39,-0.20,-0.31,0.10
19445,-0.94,0.69,-9.86,1.53,-0.43,-0.45,-0.01
19492,-0.90,-0.04,-9.77,1.46,-0.52,-0.41,-0.10
19538,-0.91,0.67,-9.62,0.11,-0.31,-0.46,-0.18
19583,-0.90,0.98,-9.75,2.06,0.05,-0.41,-0.25
19631,-0.95,1.98,-9.74,0.74,-0.34,-0.72,-0.25
19677,-1.07,1.60,-9.82,0.90,-0.37,-0.20,-0.09
19722,-1.07,1.90,-9.72,0.94,-0.05,0.02,0.05
19776,-1.06,0.94,-9.84,1.81,-0.32,-0.31,-0.10
19826,-0.93,1.58,-9.85,1.31,-0.40,-0.50,-0.21
19872,-1.00,2.03,-9.73,0.56,-0.22,-0.33,-0.11
19918,-1.06,3.05,-9.65,0.13,-0.03,-0.10,-0.16
19964,-1.03,1.49,-10.14,1.86,-0.21,-0.30,0.07
20010,-1.05,2.83,-9.90,0.04,-0.42,-0.44,0.45
20055,-1.09,0.25,-9.65,1.12,-0.31,-0.24,0.65
20101,-1.17,0.37,-9.95,0.44,-0.17,-0.09,0.10
20149,-1.09,2.41,-9.44,-0.51,-0.12,0.07,-0.27
20194,-1.06,2.29,-10.06,0.56,0.23,0.24,0.30
20240,-1.02,2.31,-9.91,0.23,-0.04,0.44,0.47
20294,-1.04,0.06,-9.86,0.57,0.14,0.72,0.53
20345,-0.87,-0.62,-9.73,1.22,0.23,0.63,-0.51
20390,-0.81,2.53,-9.92,-0.23,0.32,0.44,0.07
20436,-0.83,0.04,-10.14,1.84,0.18,0.26,0.06
20481,-0.77,1.79,-9.83,0.62,-0.30,-0.19,-0.14
20527,-0.90,1.02,-9.84,0.29,-0.01,0.41,0.08
20572,-0.87,0.74,-9.95,0.88,0.03,0.40,0.23
20618,-0.90,1.02,-9.66,0.10,0.38,0.39,0.12
20666,-0.92,0.80,-10.06,1.55,0.25,0.30,0.05
20711,-0.93,0.97,-9.79,1.34,-0.13,-0.23,-0.15
20757,-1.02,2.15,-9.75,1.02,-0.25,0.17,0.06
20810,-0.96,0.07,-9.79,1.41,0.02,0.02,0.06
20862,-0.99,0.79,-9.83,0.84,-0.04,-0.16,-0.08
20907,-0.99,1.52,-9.85,1.00,-0.04,-0.06,-0.03
20953,-0.96,0.74,-9.72,1.79,-0.03,-0.01,0.04
20998,-0.95,0.67,-9.80,0.88,-0.16,-0.16,-0.03
21044,-0.94,1.87,-9.84,1.05,-0.09,-0.03,-0.01
21089,-0.86,1.04,-9.84,0.79,-0.13,-0.04,0.07
21135,-0.87,1.38,-9.82,0.92,-0.07,-0.30,0.11
21183,-0.85,0.50,-9.95,0.31,-0.06,-0.05,0.11
21228,-0.83,0.80,-9.83,0.87,0.01,0.04,0.02
21274,-0.83,1.05,-9.90,0.99,-0.03,0.02,0.06
21328,-0.83,0.83,-9.84,1.08,-0.01,0.05,0.11
21378,-0.79,0.78,-9.91,0.41,-0.01,0.01,0.02
21424,-0.87,1.13,-9.83,0.85,0.03,0.01,0.01
21469,-0.87,1.05,-9.84,0.58,0.09,0.06,0.00
21515,-0.94,0.55,-9.80,1.52,0.04,0.03,0.02
21560,-0.91,1.09,-9.75,1.36,0.05,-0.07,0.03
21606,-0.88,1.65,-9.80,1.14,-0.03,-0.18,0.03
21651,-0.94,0.48,-9.89,0.62,0.07,0.06,0.11
21699,-0.91,0.91,-9.70,2.01,0.03,0.03,0.09
21745,-0.82,0.32,-9.77,1.28,-0.04,-0.07,0.06
21790,-0.87,0.40,-9.85,1.02,-0.02,-0.08,0.04
21845,-0.82,0.65,-9.73,1.41,0.03,0.06,0.00
21895,-0.79,0.79,-9.63,2.16,-0.06,-0.01,-0.00
21941,-0.79,0.70,-9.74,1.46,-0.18,-0.11,-0.01
21986,-0.88,0.63,-9.87,0.81,-0.06,-0.05,-0.01
22032,-0.94,0.86,-9.78,1.15,-0.10,-0.04,-0.03
22077,-0.82,0.60,-9.91,0.86,-0.08,-0.05,-0.04
22123,-0.83,1.67,-9.76,1.26,-0.02,-0.04,-0.06
22168,-1.00,0.92,-9.80,0.91,-0.07,-0.03,-0.02
22214,-1.11,1.24,-9.67,2.12,-0.03,0.07,0.06
22262,-1.08,1.02,-9.77,1.13,-0.16,-0.17,0.04
22309,-0.99,0.99,-9.84,1.22,-0.09,-0.16,0.03
22362,-0.90,0.96,-9.88,0.48,-0.10,-0.05,0.01
22413,-0.94,0.68,-9.94,0.82,-0.05,0.01,-0.02
22458,-0.91,0.46,-9.90,0.53,0.01,0.04,-0.05
22504,-1.00,1.02,-9.76,1.30,0.07,0.03,-0.10
22549,-0.93,1.34,-9.69,1.46,0.01,0.03,-0.08
22594,-1.01,1.53,-9.65,1.71,-0.01,0.06,-0.04
22640,-0.86,1.45,-9.68,1.56,-0.08,0.02,-0.02
22685,-0.91,1.38,-9.74,1.39,-0.13,-0.02,0.03
22731,-0.99,1.15,-9.80,0.97,-0.11,-0.01,0.05
22780,-1.05,0.83,-9.94,0.56,-0.10,-0.03,0.03
22826,-1.07,1.17,-9.90,0.34,0.00,0.02,-0.01
